wc,date_clean,coach_id,coach,brazil_score,opponent,opponent_score,win,loss,draw,result,venue,city,country,official,competition,wc_quali,wc_match,tenure_count,overall_count,wc_count
1998,11/10/95,Zagallo-98,Zagallo,2,Uruguai,0,1,0,0,W,Estádio da Fonte Nova,Salvador,Brasil,1,0,0,0,18,70,13
1998,8/11/95,Zagallo-98,Zagallo,1,Argentina,0,1,0,0,W,Estádio Monumental de Nuñez,Buenos Aires,Argentina,1,1,0,0,19,71,13
1998,20/12/1995,Zagallo-98,Zagallo,3,Colômbia,1,1,0,0,W,Estádio Vivaldo Lima,Manaus,Brasil,1,0,0,0,20,72,13
1998,12/1/96,Zagallo-98,Zagallo,4,Canadá,1,1,0,0,W,Estádio Los Angeles Memorial Coliseum,Los Angeles,Estados Unidos,1,1,0,0,21,73,13
1998,14/01/1996,Zagallo-98,Zagallo,5,Honduras,0,1,0,0,W,Estádio Los Angeles Memorial Coliseum,Los Angeles,Estados Unidos,1,1,0,0,22,74,13
1998,18/01/1996,Zagallo-98,Zagallo,1,Estados Unidos,0,1,0,0,W,Estádio Los Angeles Memorial Coliseum,Los Angeles,Estados Unidos,1,1,0,0,23,75,13
1998,21/01/1996,Zagallo-98,Zagallo,0,México,2,0,1,0,L,Estádio Los Angeles Memorial Coliseum,Los Angeles,Estados Unidos,1,1,0,0,24,76,13
1998,27/03/1996,Zagallo-98,Zagallo,8,Gana,2,1,0,0,W,Estádio Benedito Teixeira,São José do Rio Preto,Brasil,1,0,0,0,25,77,13
1998,24/04/1996,Zagallo-98,Zagallo,3,África Do Sul,2,1,0,0,W,Estádio First National Bank,Johanesburgo,África do Sul,1,0,0,0,26,78,13
1998,22/05/1996,Zagallo-98,Zagallo,1,Croácia,1,0,0,1,D,Estádio Vivaldo Lima,Manaus,Brasil,1,0,0,0,27,79,13
1998,26/06/1996,Zagallo-98,Zagallo,3,Polônia,1,1,0,0,W,Estádio Engenheiro Alencar Araripe,Cariacica,Brasil,1,0,0,0,28,80,13
1998,28/08/1996,Zagallo-98,Zagallo,2,Rússia,2,0,0,1,D,Estádio Dinamo,Moscou,Rússia,1,0,0,0,29,81,13
1998,31/08/1996,Zagallo-98,Zagallo,2,Holanda,2,0,0,1,D,Amsterdam Arena,Amsterdam,Holanda,1,0,0,0,30,82,13
1998,16/10/1996,Zagallo-98,Zagallo,3,Lituânia,1,1,0,0,W,Estádio Alberto Silva,Teresina,Brasil,1,0,0,0,31,83,13
